Modelo,Accuracy,Precision,Recall,F1
SVM,0.925,0.8666666666666667,0.9285714285714286,0.896551724137931
Árbol de Decisión,0.9125,0.8620689655172413,0.8928571428571429,0.8771929824561403
Random Forest,0.9,0.8333333333333334,0.8928571428571429,0.8620689655172413
Regresión Logística,0.8875,0.9130434782608695,0.75,0.8235294117647058
